County,SPCS83_Code
Anderson,4203
Andrews,4202
Angelina,4203
Aransas,4204
Archer,4202
Armstrong,4201
Atascosa,4204
Austin,4204
Bailey,4202
Bandera,4204
Bastrop,4203
Baylor,4202
Bee,4204
Bell,4203
Bexar,4204
Blanco,4203
Borden,4202
Bosque,4203
Bowie,4202
Brazoria,4204
Brazos,4203
Brewster,4204
Briscoe,4201
Brooks,4205
Brown,4203
Burleson,4203
Burnet,4203
Caldwell,4204
Calhoun,4204
Callahan,4202
Cameron,4205
Camp,4202
Carson,4201
Cass,4202
Castro,4201
Chambers,4204
Cherokee,4203
Childress,4201
Clay,4202
Cochran,4202
Coke,4203
Coleman,4203
Collin,4202
Collingsworth,4201
Colorado,4204
Comal,4204
Comanche,4203
Concho,4203
Cooke,4202
Coryell,4203
Cottle,4202
Crane,4203
Crockett,4203
Crosby,4202
Culberson,4203
Dallam,4201
Dallas,4202
Dawson,4202
Deaf Smith,4201
Delta,4202
Denton,4202
DeWitt,4204
Dickens,4202
Dimmit,4204
Donley,4201
Duval,4205
Eastland,4202
Ector,4203
Edwards,4204
Ellis,4202
El Paso,4203
Erath,4202
Falls,4203
Fannin,4202
Fayette,4204
Fisher,4202
Floyd,4202
Foard,4202
Fort Bend,4204
Franklin,4202
Freestone,4203
Frio,4204
Gaines,4202
Galveston,4204
Garza,4202
Gillespie,4203
Glasscock,4203
Goliad,4204
Gonzales,4204
Gray,4201
Grayson,4202
Gregg,4202
Grimes,4203
Guadalupe,4204
Hale,4202
Hall,4201
Hamilton,4203
Hansford,4201
Hardeman,4202
Hardin,4203
Harris,4204
Harrison,4202
Hartley,4201
Haskell,4202
Hays,4204
Hemphill,4201
Henderson,4202
Hidalgo,4205
Hill,4202
Hockley,4202
Hood,4202
Hopkins,4202
Houston,4203
Howard,4202
Hudspeth,4203
Hunt,4202
Hutchinson,4201
Irion,4203
Jack,4202
Jackson,4204
Jasper,4203
Jeff Davis,4203
Jefferson,4204
Jim Hogg,4205
Jim Wells,4205
Johnson,4202
Jones,4202
Karnes,4204
Kaufman,4202
Kendall,4204
Kenedy,4205
Kent,4202
Kerr,4204
Kimble,4203
King,4202
Kinney,4204
Kleberg,4205
Knox,4202
Lamar,4202
Lamb,4202
Lampasas,4203
La Salle,4204
Lavaca,4204
Lee,4203
Leon,4203
Liberty,4203
Limestone,4203
Lipscomb,4201
Live Oak,4204
Llano,4203
Loving,4203
Lubbock,4202
Lynn,4202
McCulloch,4203
McLennan,4203
McMullen,4204
Madison,4203
Marion,4202
Martin,4202
Mason,4203
Matagorda,4204
Maverick,4204
Medina,4204
Menard,4203
Midland,4203
Milam,4203
Mills,4203
Mitchell,4202
Montague,4202
Montgomery,4203
Moore,4201
Morris,4202
Motley,4202
Nacogdoches,4203
Navarro,4202
Newton,4203
Nolan,4202
Nueces,4205
Ochiltree,4201
Oldham,4201
Orange,4203
Palo Pinto,4202
Panola,4202
Parker,4202
Parmer,4201
Pecos,4203
Polk,4203
Potter,4201
Presidio,4204
Rains,4202
Randall,4201
Reagan,4203
Real,4204
Red River,4202
Reeves,4203
Refugio,4204
Roberts,4201
Robertson,4203
Rockwall,4202
Runnels,4203
Rusk,4202
Sabine,4203
San Augustine,4203
San Jacinto,4203
San Patricio,4205
San Saba,4203
Schleicher,4203
Scurry,4202
Shackelford,4202
Shelby,4203
Sherman,4201
Smith,4202
Somervell,4202
Starr,4205
Stephens,4202
Sterling,4203
Stonewall,4202
Sutton,4203
Swisher,4201
Tarrant,4202
Taylor,4202
Terrell,4204
Terry,4202
Throckmorton,4202
Titus,4202
Tom Green,4203
Travis,4203
Trinity,4203
Tyler,4203
Upshur,4202
Upton,4203
Uvalde,4204
Val Verde,4204
Van Zandt,4202
Victoria,4204
Walker,4203
Waller,4204
Ward,4203
Washington,4203
Webb,4205
Wharton,4204
Wheeler,4201
Wichita,4202
Wilbarger,4202
Willacy,4205
Williamson,4203
Wilson,4204
Winkler,4203
Wise,4202
Wood,4202
Yoakum,4202
Young,4202
Zapata,4205
Zavala,4204
